Instruction,Output
Share tips for keeping your room tidy without spending whole day cleaning.,"Instead of waiting until room jialat then clean, do five–ten minutes each day – fold clothes, throw rubbish, wipe table. Small effort but room won’t CMI so fast, you also feel more shiok staying inside."
Explain how to maintain long-distance friendships.,"Long-distance friend, if you bo chap for too long, the link will fade lor. Schedule occasional calls, send random memes, update on big events. No need talk everyday, but show you still remember them."
Give advice for networking without feeling fake.,"Networking not just arrow name card and chao. Find people whose work you respect, ask genuine questions, keep in touch once in a while. Be yourself, not act atas, then conversations more steady."
Describe how to stay safe when meeting someone from an online app.,"First time meet, choose crowded place, tell a friend where you going, and don’t drink until siao. If vibes feel off, no need paiseh, can say you need to go and leave early. Your safety more important lah."
Explain how to control impulse buying in a shopping mall.,"Mall got aircon, music, promo, everything calling you to spend. Before you tap card, ask “I really need this now meh?” Walk one more round, if still feel must buy then consider. Many times, after lepak a bit, the urge disappear."
Give tips for staying productive in the library.,"Library environment shiok but can also become lepak zone if you go with noisy friends. Choose quieter area, set small goals like “finish two questions then break”. After that reward yourself with short phone time."
Share how to comfort a friend who didn’t get their dream job.,"They confirm very sian, maybe feel CMI. Don’t say “aiyah never mind lah” only; acknowledge that it really painful, encourage them to rest a bit, then help check other lobang. Remind them one rejection not end of story."
Explain how to manage your daily to-do list realistically.,"If list too long until jialat, you see also sian and bo chap everything. Choose top three must-do tasks, finish those first. The rest treat as bonus, like that easier to huat small wins."
Give advice for taking feedback on your project presentation.,"After presentation, when people comment, don’t straightaway think they sabo you. Note down, clarify if you catch no ball, and later decide which to apply. Good feedback can help you spoil market next time in a good way."
Describe how to stay humble when you perform very well.,"If you do super well and keep flexing, people sure say you spoil market and cannot tahan. Celebrate, but also credit those who helped and remember there’s more to learn. Steady but not show off lah."
Explain how to prepare for a difficult conversation with someone close to you.,"Think through what you want to say first, don’t go in and anyhow whack. Choose a calm time, not when both already siao angry. Focus on how you feel rather than arrowing blame, then more chance resolve nicely."
Give tips for controlling your temper when things don’t go your way.,"When you feel volcano coming, try pause, breathe, maybe walk away and drink water. If you explode, later you paiseh and relationship also jialat. Cool down first, then talk more steady."
Share advice for new pet owners.,"New pet very cute lah but also a lot of work. Read up on their needs, bring for vet checks, don’t just cage there and bo chap. Spend time playing and training, then your pet life and your life both more shiok."
Explain how to manage expectations when travelling with a big group.,"Big group trip confirm got people lepak, got people very kiasu itinerary one. Discuss upfront what everyone want to do, allow some free time, and don’t force all to stick together 24/7. Otherwise, holiday become stress camp."
